id,inicio,fim,categoria,arquivo,algoritmo
5058,0,0,1,input-10k-1.txt,gulosa
249,0,0,2,input-10k-2.txt,gulosa
7652,1,1,1,input-10k-2.txt,gulosa
745,0,0,1,input-10k-3.txt,gulosa
6509,1,1,1,input-10k-3.txt,gulosa
466,2,3,2,input-10k-3.txt,gulosa
3394,3,3,3,input-10k-3.txt,gulosa
8843,4,5,3,input-10k-3.txt,gulosa
6206,5,6,3,input-10k-3.txt,gulosa
3504,0,0,2,input-10k-4.txt,gulosa
5798,1,1,3,input-10k-4.txt,gulosa
5729,2,2,3,input-10k-4.txt,gulosa
1183,3,3,2,input-10k-4.txt,gulosa
9667,4,4,1,input-10k-4.txt,gulosa
6775,5,5,4,input-10k-4.txt,gulosa
2379,6,6,2,input-10k-4.txt,gulosa
68,7,7,1,input-10k-4.txt,gulosa
8702,8,8,3,input-10k-4.txt,gulosa
8732,10,10,1,input-10k-4.txt,gulosa
7405,9,10,1,input-10k-4.txt,gulosa
1664,0,0,1,input-10k-5.txt,gulosa
497,1,1,4,input-10k-5.txt,gulosa
1125,2,2,1,input-10k-5.txt,gulosa
2027,3,3,3,input-10k-5.txt,gulosa
6457,4,5,2,input-10k-5.txt,gulosa
6856,5,5,2,input-10k-5.txt,gulosa
6210,6,6,4,input-10k-5.txt,gulosa
3859,7,7,1,input-10k-5.txt,gulosa
6728,8,8,1,input-10k-5.txt,gulosa
6729,9,9,2,input-10k-5.txt,gulosa
5863,10,11,5,input-10k-5.txt,gulosa
4881,11,11,5,input-10k-5.txt,gulosa
5370,12,13,5,input-10k-5.txt,gulosa
1037,13,14,5,input-10k-5.txt,gulosa
5455,14,15,5,input-10k-5.txt,gulosa
3492,0,0,8,input-10k-10.txt,gulosa
7412,1,1,1,input-10k-10.txt,gulosa
4802,2,2,9,input-10k-10.txt,gulosa
8320,3,3,4,input-10k-10.txt,gulosa
5918,4,4,1,input-10k-10.txt,gulosa
7003,5,5,1,input-10k-10.txt,gulosa
9191,6,6,1,input-10k-10.txt,gulosa
8811,7,7,7,input-10k-10.txt,gulosa
3534,8,8,2,input-10k-10.txt,gulosa
2821,9,9,8,input-10k-10.txt,gulosa
4658,10,10,6,input-10k-10.txt,gulosa
5838,11,11,9,input-10k-10.txt,gulosa
6256,12,12,3,input-10k-10.txt,gulosa
2195,13,13,7,input-10k-10.txt,gulosa
9076,14,14,8,input-10k-10.txt,gulosa
9305,15,15,10,input-10k-10.txt,gulosa
2948,16,16,8,input-10k-10.txt,gulosa
9832,17,17,9,input-10k-10.txt,gulosa
3701,18,18,5,input-10k-10.txt,gulosa
2335,19,19,10,input-10k-10.txt,gulosa
4997,20,20,7,input-10k-10.txt,gulosa
1300,21,21,6,input-10k-10.txt,gulosa
2146,22,22,5,input-10k-10.txt,gulosa
1012,23,23,5,input-10k-10.txt,gulosa
2234,0,0,18,input-10k-20.txt,gulosa
7927,1,1,14,input-10k-20.txt,gulosa
8761,2,2,7,input-10k-20.txt,gulosa
9150,3,3,9,input-10k-20.txt,gulosa
14,4,4,11,input-10k-20.txt,gulosa
8942,5,5,12,input-10k-20.txt,gulosa
720,6,6,1,input-10k-20.txt,gulosa
2923,8,8,4,input-10k-20.txt,gulosa
